comments,sentiment
langit bumi kerja bapak purbaya ibu sri mulyani senang lihat kerja bapak sehat semangat bapak,Positif
moga purbaya selamat tidak dikerjain sama oligarki mafia sektor energi pangan uang rasa penting ganggu,Negatif
nyata bank2 himpun bank milik negara selektif kucur dana usaha mikro kecil tengah sangat butuh tambah modal alami punya usaha cetak jalan sejak 2002 sekarang butuh modal 25 juta aju kredit usaha rakyat mikro tidak acc walaupun pakai jamin malah suruh ambil yang bunga 2 bulan 1tahun 24 tidak masuk akal sangat berat yang usaha mikro kecil tengah,Negatif
ayo bapak purbaya tetap semangat bangun indonesia,Positif
ayo rakyat cerdas kontrol main guna uang negara kayak rakyat miskin main banyak rekayasa serong ngeri ngeri rakyat jadi korban,Negatif
menteri uang purbaya luar biasa hebat mantap lanjut,Positif
memang bank bank rakyat indonesia masih percaya bank bank rakyat indonesia sangat tidak tanggung nasabah kena retas malah nasabah salah bagaimana sih bank negara rakyat malah rugi ada sama buang uang bank nasabah hilang uang tabung uang bank bank rakyat indonesia,Negatif
lembaga perban lebih bahaya angkat senjata thomas jefferson,Negatif
sayang sekali kalau niat baik menteri uang tidak irama himpun bank milik negara daerah2 jumlah usaha mikro kecil tengah sangat banyak banyak butuh modal usaha prosedur tetap ketat alas prinsip hati2an harus sedikit longgar dihawatirkan bukan himpun bank milik negara bantu usaha mikro kecil tengah bantu usaha nakal kredit fiktif nila fantastis kasus sritex,Negatif
hati waspada pasti dana beri manfaat semua rakyat jelata habis tidak sisa kantung aparat jabat jangan mudah daya,Negatif
jujur gue sebel banget sama bank bsi punya program kredit kpr penuh harap gue datengin nyata cuma buat pns aparat sama pegawe badan usaha milik negara gue pegawe swasta jadi tidak ambil program kpr pantas guyur 200t bingung mau target mereka cuma pns doang,Negatif
efek mulai asa dagang makin rame daya beli tingkat ekonomi tumbuh,Positif
lama usaha mandek moga menteri baru bawa angin segar iklim usaha indonesia,Netral
bayan guyz 200 triliun jadi begini bagaimana kalau 1 quadriliun kasus pertamina sita kasus korupsi lain,Negatif
moga usaha kecil daya beli tingkat,Netral
pas bagi iklan bawa channel gua mau next gua tonton pas tayang perdana jadi tidak di next bahaya memang saham goreng saudara judi sekarang goreng saham bakal kejar sama menteri uang,Negatif
mantap bapak purbaya harus banyak orang ini perintah bahkan dewan wakil rakyat salut buat bapak purbaya coba bikin lagu buat bapak purbaya heehee,Positif
kuikutin berita sepak terjang purbaya nih mereka berat rasa usik bijak purbaya arti orang rasa usik nyaman lama tahun tahun yy terlalu enak duduk kursi zona nyaman purbaya nih mulai tahun 98 ikut terjun langsung tumbuh baik nilai rupiah sempat turun,Positif
alhamdulillah moga harga singkong segera stabil potong rendah stop impor tapioka,Netral
