id_comment,comment,author,like_count,time,video_id
UgxeuHpB4tJs3VaxIa94AaABAg,"Yg saya heran setiap kali Bang Bennix bilang GOBLOK,TOLOL dll saya malah jadi lebih SEMANGAT, terimakasih Bang Bennix ❤",@misbakulhuda663,88,2025-10-12,585-A9uh6Qc
Ugx5BbOJxUVVP_SK1IR4AaABAg,Bubarkan OJK dan pinjol,@ahmadalisudibyo3601,10,2025-10-12,585-A9uh6Qc
UgzMivudK0Yg8PFHU414AaABAg,"Dari 40ribuan subs, now here we are",@RasanyaEnak-eb1jw,12,2025-10-12,585-A9uh6Qc
UgxdamfgLoDzVgHh8Rl4AaABAg,Kalau dari video yang udah-udah 5k likes aja paling dalam 24 jam 👀,@roe_goodknight,20,2025-10-12,585-A9uh6Qc
UgzdGewoFJXWotK9Mwp4AaABAg,"Sayang banget, viewer channel ini dipenuhi org2 asal bicara..Padahal sebelum channel ini terkenal, viewer dipenuhi oleh org2 teredukasi dgn baik..",@oppoajjawowo,9,2025-10-12,585-A9uh6Qc
UgxcebDLXCGAQB3wV4l4AaABAg,Bagus banget nih penjelasan Bennix. Jelas dan teknikal,@alphagate9044,1,2025-10-13,585-A9uh6Qc
UgyyqEZxun1EQwSEgap4AaABAg,Bismillah la ya,@SeseSese-c1c,5,2025-10-12,585-A9uh6Qc
Ugx5ktlzeY_--t4h5B14AaABAg,Mantap bung ben gasken,@arizalburhanudin4205,2,2025-10-12,585-A9uh6Qc
UgwlIPTqHuqaPLjG36t4AaABAg,"Nonton aja aaaahhh....no comment, free speech free act...",@buaya777,0,2025-10-13,585-A9uh6Qc
UgzV3kf88wpjmTvjOB54AaABAg,Mantap,@Andy-d2f6n,2,2025-10-12,585-A9uh6Qc
UgxbvuotXAzOIwtnS414AaABAg,Bennix CERDAS...!!!,@rasat86,0,2025-10-15,585-A9uh6Qc
UgwAsOCWBCYwmWfzjaR4AaABAg,Mantab bang ....,@Fauzy-lz2ql,2,2025-10-12,585-A9uh6Qc
Ugyo7Zh2IFIIFiWQVcd4AaABAg,Yoookk otw sejuta subs bang ben,@BuanaPrasetya,1,2025-10-12,585-A9uh6Qc
