id_comment,comment,author,like_count,time,video_id
UgwKOUwkackHqtLfbPR4AaABAg,"Seperti langit dan bumi, kerja pak Purbaya dan bu Sri mulyani. Senang lihat kerja Bpk. Sehat, semangat ya pak.",@bettyutami9973,15,2025-10-13,585-A9uh6Qc
Ugx_jFD82BwGojRWq4F4AaABAg,"Semoga Purbaya selamat, ngak dikerjain sama oligarki & para mafia di sektor energy, pangan dan keuangan yg merasa kepentingannya terganggu.",@IndoHog-fe2vd,78,2025-10-12,585-A9uh6Qc
UgxeuHpB4tJs3VaxIa94AaABAg,"Yg saya heran setiap kali Bang Bennix bilang GOBLOK,TOLOL dll saya malah jadi lebih SEMANGAT, terimakasih Bang Bennix ❤",@misbakulhuda663,88,2025-10-12,585-A9uh6Qc
UgzMgVYyDxuC_lAqH3V4AaABAg,"nyatanya bank2 himbara masih selektif mengucurkan dana untuk UMKM yg sangat membutuhkan tambahan modal, seperti yg saya alami. punya usaha percetakan sdh berjalan sejak 2002 sampai sekarang membutuhkan modal 25 juta saja mengajukan kur mikro g di acc padahal memakai jaminan, malah disuruh ambil yg bunganya 2% perbulan 1tahun 24 %  g masuk akal, sangat memberatkan kita yg umkm...",@muhammadmoechlisin702,20,2025-10-12,585-A9uh6Qc
Ugwt2EEv2dZFFy9kkql4AaABAg,Ayooo pak pur ttp semangat bangun indonesia 👍,@Emoxn7568,52,2025-10-12,585-A9uh6Qc
UgzKkoNBEX6sdhUJoLp4AaABAg,Ayo rakyat cerdas harus mengonyrol pemaik penggunaan uang kenapa negara kaya rakyatnya mismin pemainya banysk rekayasa yg serong ngeri ngeri  rskyat jadi korban,@jokoDS,1,2025-10-19,585-A9uh6Qc
UgwYXuCAO76MSbsaFDZ4AaABAg,Menku purbaya luar biasa hebat ✨😍 mantappp lanjutkan ⏩ 😂😢😮😅😊,@SutrisniBondowoso,1,2025-10-20,585-A9uh6Qc
Ugx5BbOJxUVVP_SK1IR4AaABAg,Bubarkan OJK dan pinjol,@ahmadalisudibyo3601,10,2025-10-12,585-A9uh6Qc
UgyY8iX0PsqTOs72Ryl4AaABAg,Memangnya bank BRI itu masih bisa dipercaya sedangkan bank bri itu sangat tidak bertanggung saat nasabahnya kena retas malah nasabahnya yang disalahkan gimana sih bank negara untuk rakyat tapi malah merugikan yang ada sama membuang uang ke bank. Nasabahnya kehilangan uangnya karna menabung uang dibank Bri,@LindraLinzya,31,2025-10-12,585-A9uh6Qc
UgzXDyNkIQxwjQlS4aZ4AaABAg,"""Lembaga perbankan lebih berbahaya daripada angkatan bersenjata."" ~Thomas Jefferson",@anandananda2277,121,2025-10-12,585-A9uh6Qc
UgzMivudK0Yg8PFHU414AaABAg,"Dari 40ribuan subs, now here we are",@RasanyaEnak-eb1jw,12,2025-10-12,585-A9uh6Qc
UgzA1a6lqFbP5ce5aHl4AaABAg,SAYANG SEKALI KALAU NIAT BAIK MENKEU TIDAK SEIRAMA DENGAN HIMBARA DI DAERAH2 DIMANA JUMLAH UMKM SANGAT BANYAK DAN BANYAK YG MEMBUTUHKAN MODAL USAHA TAPI PROSEDURNYA TETAP DIPERKETAT DENGAN ALASAN PRINSIP KE HATI2AN YG SEHARUSNYA SEDIKIT DILONGGARKAN.. YG DIHAWATIRKAN BUKAN HIMBARA  MEMBANTU UMKM TAPI MEMBANTU PENGUSAHA NAKAL DENGAN KREDIT FIKTIF BERNILAI FANTASTIS SEPERTI KASUS SRITEX,@ismadiher151,42,2025-10-12,585-A9uh6Qc
